"BF_SIGEN1500_014444_NOMNOM_341500_0357","BF_014444_NOMNOM_452000_0237","SBFT_FULL_GV_HOT_0140_VCCMIN_702800_0308","XSHIP_GV133_012121_MINMIN_1332800_0253","BF_014444_NOMNOM_452000_0247","XSHIP_GV200_011717_MINMIN_2003400_0123","XSHIP_GV200_011515_MINMIN_2003000_0143","SBFT_SIGON_1000_NOM_FF","SBFT_FULL_GV_HOT_0140_VCCMIN_702800_0318","SBFT_SIGON_1500_NOM","BF_014444_NOMNOM_452000_0207","BF_014444_NOMNOM_452000_0217","BF_014444_MAXMAX_683000_0544","SBFT_FULL_GV_HOT_0140_VCCMIN_702800_0313","BF_014444_MINMIN_823600_0213","BF_014444_NOMNOM_452000_0227","SBFT_SIGON_2000_NOM","BF_SIGEN2000_VID_014444_NOMNOM_452000_0262","SBFT_FULL_0140_MAXMAX_853400_0903","BF_014444_MINMIN_733200_0433","SCANATPG_SCOREBOARD_0120_NOM_1000","SBFT_FULL_0140_MINMIN_702800_0324","BF_SIGEN1500_VID_014444_NOMNOM_341500_0363","GV_HOT_DT_014444_VCCMIN_642800_0126","SCANATPG_0120_NOM_1200","GV_HOT_DT_014444_VCCMIN_642800_0136","BF_014444_MINMIN_683000_0543","GV_HOT_DT_014444_VCCMIN_642800_0116","SBFT_FULL_0140_MINMIN_903600_0506","SBFT_FULL_0140_MINMIN_853400_0711","BF_014444_MINMIN_773400_0323","BF_014444_MINMIN_642800_0653","BF_014444_NOMNOM_452000_0257","BF_014444_MINMIN_863800_0103","BF_SIGEN1000_VID_014444_NOMNOM_231000_0461","SBFT_SIGON_1800_NOM","SBFT_FULL_0140_MINMIN_753000_1121","BF_SIGEN1000_014444_NOMNOM_231000_0457","SCANATPG_0120_NOM_1000","SBFT_FAFI_0140_MINMIN_702800_0324","SBFT_FULL_0140_MINMIN_803200_0916",
"G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG","G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG",,,,,,,,,,,,,,,,"G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG",,,,,"G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG",,,,,,,,,,,,"G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG",,,"G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG",,,,"W5083769    221     7   9"
"G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG",,,,,,,,,,,,,,,,,"G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG",,,,,"G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG",,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,"G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG",,"G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG",,,"G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG",,,,"W5083769    180    -5 -12"
"G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG",,,,"G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG",,,,,,,,,,,,,"G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG",,,,,"G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG",,,,,,,,,,,,"G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG",,,"G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG",,,,"W5083769    222    12   2"
"G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG",,,,"G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG",,,,,,,,,,,,,"G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG",,,,,"G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG",,,,,,,,,,,,"G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG",,,"G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG",,,,"W5083769    180   -13   0"
,,,,,,,,,,,,,,,,,,,,,,,,,,"G1681571P2808874_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_HE_64BIT_GENERIC_INT_MT",,,,,,,,,,,,,,,"W5083769    185     7 -11"
,,,,,,,,,,,,,,,,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,,,,,"W5083769    180     5 -12"
,,,,,,,,,,,,,,,,,,,,,,,,,,"G1681480P2452700_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_SYSCALL_MT_812389931",,,,,,,,,,,,,,,"W5083769    221    11  -7"
,,,,,,,,,,,,,,,,,,,"G1684589P2487068_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LB_CAM_MISS_10_MT",,,,,,,"G1684589P2487068_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LB_CAM_MISS_10_MT",,,,,"G1684589P2487068_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LB_CAM_MISS_10_MT",,,,,,,,,,"W5083769    183     2  -4"
,,,,,,,,,,,,,,,,,,,,,,,,,,"G1697086P2324588_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_UL1_FT_T0_WCB_SNOOP_EVICTIONS_ORP_000",,,,,,,,,,,,,,,"W5083769    180     7 -11"
,,,,,,,,,,,,,,,,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,,,,,"W5083769    184    -6 -11"
,,,,,,,,,,,,,,,,,,,,,,,,,,"G1709879P2463754_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_984397015",,,,,,,,,,,,,,,"W5083769    184     8 -10"
,,,,,,,,,,,,,,,,,,,,,,,,,,"G1696630P2210378_014444_PL01DW_FTXXX_US1XM1X0XXXHXXXXX_PAGE_RSVD_BITS_PF",,,,,,,,,,,,,,,"W5083769    175   -11  -7"
,,,,,,,,,,,,,,,,,,,,,,,,,,"G1691737P2431214_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE",,,,,,,,,,,,,,,"W5083769    185     4 -11"
,,,,,,,,,,,,,,,,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,,,,,"W5083769    183    -1 -13"
,,,,,,,,,,,,,,,,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,,,,,"W5083769    180     1 -13"
,,,,,,,,,,,,,,,,,,,,,,,,,,"G1709879P2463754_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_984397015",,,,,,,,,,,,,,,"W5083769    221   -10  -8"
,,,,,,,,,,,,,,,,,,,,,,,,,,"G1675119P2448830_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_EXEC_FT_T0__FRITSFPU_RND_EXCEP_ORP_00",,,,,,,,,,,,,,,"W5083769    221    13   0"
,,,,,,,,,,,,,,,,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,,,,,"W5083769    175    -1 -13"
,,,,,,,,,,,,,,,,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,,,,,"W5083769    175    -5 -12"
,,,,,,,,,,,,,,,,,,,,,,,,,,"G1685738P2443358_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_UL1_FT_T0_RLB_R_W_ACCESS_ORP_004",,,,,,"G1696422P2463534_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DPU_PMH_CR_BASIC_1",,,,,,,,,"W5083769    183   -12   4"
,,,,,,,,,,,,,,,,"G1404515P2449310_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST3_ORP_000",,,,,,,,,,,,,,,,,,,,,,,,,"W5083769    183    11   6"
,,,,,,,,,,,,,,,,"G1404515P2449310_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST3_ORP_000",,,,,,,,,,,,,,,,,,,,,,,,,"W5083769    184     6  -8"
,,,,,,,,,,,,,,,,"G1404515P2449310_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST3_ORP_000",,,,,,,,,,,,,,,,,,,,,,,,,"W5083769    222     3   2"
,,,,,,,,,,,,,,,,"G1404515P2449310_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST3_ORP_000",,,,,,,,,,,,,,,,,,,,,,,,,"W5083769    222    12   4"
,,,,,,,,,,,,,,,,"G1404515P2449310_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST3_ORP_000",,,,,,,,,,,,,,,,,,,,,,,,,"W5083769    222    13   0"
,,,,,,,,,,,,,,,,"G1404515P2449310_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST3_ORP_000",,,,,,,,,,,,,,,,,,,,,,,,,"W5083769    183     3   9"
,,,,,,,,,,,,,,,,,,,,"D1505117P2514808_012020_PK04DG_FTXXX_UX1XM1X0SQ0XXXXXX_IQSSU_PH1PH2_AZTEC_STATPG",,,,"D1505117P2514808_012020_PK04DG_FTXXX_UX1XM1X0SQ0XXXXXX_IQSSU_PH1PH2_AZTEC_STATPG",,,,,,,,,,,,,,"D1505117P2514808_012020_PK04DG_FTXXX_UX1XM1X0SQ0XXXXXX_IQSSU_PH1PH2_AZTEC_STATPG",,,"W5083769    175    10   2"
,,,,,,,,,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,"D1503965P2403890_012020_PK04DG_FTXXX_UX1XM1X0SR2XXXXXX_CRUROB_PH2_STATPG",,,,,,,,,,,,,,,,,"W5083769    175    -2 -12"
,,,,,,,,,,,,,,,,,,,,"D1503973P2421942_012020_PK04DG_FTXXX_UX1XM1X0S14XXXXXX_BUS1_PH1_STATPG",,,,"D1503973P2421942_012020_PK04DG_FTXXX_UX1XM1X0S14XXXXXX_BUS1_PH1_STATPG",,,,,,,,,,,,,,"D1503973P2421942_012020_PK04DG_FTXXX_UX1XM1X0S14XXXXXX_BUS1_PH1_STATPG",,,"W5083769    188    -9   7"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1687018P2431064_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE",,,,,,,,,,"W5083769    188    13  -1"
,,,,"G1696422P2463534_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DPU_PMH_CR_BASIC_1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"W5083769    178    -7  10"
,,,,"G1685551P2329388_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_FSPIMUX3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"W5083769    222   -12   4"
,,,,"G1696422P2463534_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DPU_PMH_CR_BASIC_1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"W5083769    180    -5  10"
,,,,"G1696422P2463534_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DPU_PMH_CR_BASIC_1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"W5083769    221    -7  10"
,,,,"G1696422P2463534_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DPU_PMH_CR_BASIC_1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"W5083769    180     0  10"
,,,,"G1682171P2329448_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_ROB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"W5083769    180   -12   4"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1702496P2447730_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TMRCHAINTESTOUTPUT7A",,,,,,,,,"W5083769    175     0  12"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1685551P2329388_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_FSPIMUX3",,,,,,,,,"W5083769    184    -2  12"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1696422P2463534_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DPU_PMH_CR_BASIC_1",,,,,,,,,"W5083769    222    11  -7"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1696422P2463534_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DPU_PMH_CR_BASIC_1",,,,,,,,,"W5083769    188     0  11"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1702496P2447730_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TMRCHAINTESTOUTPUT7A",,,,,,,,,"W5083769    188    -6  10"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1696422P2463534_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DPU_PMH_CR_BASIC_1",,,,,,,,,"W5083769    178     6  10"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1696422P2463534_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DPU_PMH_CR_BASIC_1",,,,,,,,,"W5083769    222    -9   8"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1696422P2463534_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DPU_PMH_CR_BASIC_1",,,,,,,,,"W5083769    175    -1  12"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1696422P2463534_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DPU_PMH_CR_BASIC_1",,,,,,,,,"W5083769    178     1  12"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1696422P2463534_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DPU_PMH_CR_BASIC_1",,,,,,,,,"W5083769    184     7   9"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1696422P2463534_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DPU_PMH_CR_BASIC_1",,,,,,,,,"W5083769    221     5  11"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1696422P2463534_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DPU_PMH_CR_BASIC_1",,,,,,,,,"W5083769    221     2  12"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1696422P2463534_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DPU_PMH_CR_BASIC_1",,,,,,,,,"W5083769    222    -4  11"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1696422P2463534_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DPU_PMH_CR_BASIC_1",,,,,,,,,"W5083769    184   -11  -7"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,"W5083769    221     0 -10"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1696630P2210378_014444_PL01DW_FTXXX_US1XM1X0XXXHXXXXX_PAGE_RSVD_BITS_PF",,,,,,,,,,,"W5083769    221     1  -9"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1696630P2210378_014444_PL01DW_FTXXX_US1XM1X0XXXHXXXXX_PAGE_RSVD_BITS_PF",,,,,,,,,,,"W5083769    221    -2 -10"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1696630P2210378_014444_PL01DW_FTXXX_US1XM1X0XXXHXXXXX_PAGE_RSVD_BITS_PF",,,,,,,,,,,"W5083769    175     5  -1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1681571P2808874_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_HE_64BIT_GENERIC_INT_MT",,,,,,,,,,,"W5083769    175     4  -1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1696630P2210378_014444_PL01DW_FTXXX_US1XM1X0XXXHXXXXX_PAGE_RSVD_BITS_PF",,,,,,,,,,,"W5083769    175     0  -9"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1696630P2210378_014444_PL01DW_FTXXX_US1XM1X0XXXHXXXXX_PAGE_RSVD_BITS_PF",,,,,,,,,,,"W5083769    175    10  -3"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,"W5083769    175     3   3"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,"W5083769    175     7  -7"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1696630P2210378_014444_PL01DW_FTXXX_US1XM1X0XXXHXXXXX_PAGE_RSVD_BITS_PF",,,,,,,,,,,"W5083769    175     4  -8"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,"W5083769    175    -6 -10"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,"W5083769    185     2 -10"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1696630P2210378_014444_PL01DW_FTXXX_US1XM1X0XXXHXXXXX_PAGE_RSVD_BITS_PF",,,,,,,,,,,"W5083769    222     7  -8"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1678728P2434036_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MOS_MOSLARYM_LA_CAM_HIGHBITS_1",,,,,,,,,,,"W5083769    185     2  -9"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1681571P2808874_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_HE_64BIT_GENERIC_INT_MT",,,,,,,,,,,"W5083769    185    -2 -12"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1696630P2210378_014444_PL01DW_FTXXX_US1XM1X0XXXHXXXXX_PAGE_RSVD_BITS_PF",,,,,,,,,,,"W5083769    222     1 -10"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,"W5083769    222     9  -5"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,"W5083769    184     3   3"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,"W5083769    178    -3 -11"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1681480P2452700_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_SYSCALL_MT_812389931",,,,,,,,,,,"W5083769    178     1 -12"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,"W5083769    185     4  -2"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,"W5083769    185     1  -4"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1696630P2210378_014444_PL01DW_FTXXX_US1XM1X0XXXHXXXXX_PAGE_RSVD_BITS_PF",,,,,,,,,,,"W5083769    222     9  -4"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1709879P2463754_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_984397015",,,,,,,,,,,"W5083769    178     3  -2"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,"W5083769    178    10  -6"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1696630P2210378_014444_PL01DW_FTXXX_US1XM1X0XXXHXXXXX_PAGE_RSVD_BITS_PF",,,,,,,,,,,"W5083769    221     0  -3"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1696630P2210378_014444_PL01DW_FTXXX_US1XM1X0XXXHXXXXX_PAGE_RSVD_BITS_PF",,,,,,,,,,,"W5083769    221     3  -4"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,"W5083769    221     4  -2"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,"W5083769    221     0  -2"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1696630P2210378_014444_PL01DW_FTXXX_US1XM1X0XXXHXXXXX_PAGE_RSVD_BITS_PF",,,,,,,,,,,"W5083769    222     3   0"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1696630P2210378_014444_PL01DW_FTXXX_US1XM1X0XXXHXXXXX_PAGE_RSVD_BITS_PF",,,,,,,,,,,"W5083769    221     4  -1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1696630P2210378_014444_PL01DW_FTXXX_US1XM1X0XXXHXXXXX_PAGE_RSVD_BITS_PF",,,,,,,,,,,"W5083769    221     5   8"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,"W5083769    221     4   1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,"W5083769    183     3 -11"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,"W5083769    183     5  -1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,"W5083769    183     0  -4"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,"W5083769    183     3  -4"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1682907P2756302_014444_PL01DF_FBXXX_UX1XM1X0XXXHXXXXX_T3THR_PDE0_017",,,,,,,,,,,"W5083769    222     5   2"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1696630P2210378_014444_PL01DW_FTXXX_US1XM1X0XXXHXXXXX_PAGE_RSVD_BITS_PF",,,,,,,,,,,"W5083769    184     4  -2"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1696630P2210378_014444_PL01DW_FTXXX_US1XM1X0XXXHXXXXX_PAGE_RSVD_BITS_PF",,,,,,,,,,,"W5083769    221     7  -8"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1696630P2210378_014444_PL01DW_FTXXX_US1XM1X0XXXHXXXXX_PAGE_RSVD_BITS_PF",,,,,,,,,,,"W5083769    183     5  -2"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,"W5083769    180    -2  -2"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,"W5083769    184    -6  -9"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,"W5083769    184    -2  -4"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,"W5083769    184     0  -3"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,"W5083769    184     2  -6"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1696630P2210378_014444_PL01DW_FTXXX_US1XM1X0XXXHXXXXX_PAGE_RSVD_BITS_PF",,,,,,,,,,,"W5083769    184     5   1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,"W5083769    222    -3 -11"
